Геодезический четырёхугольник (Вариант 15)
2 12 0 2 4
A	1085.0000	130.0000
B	1605.0000	655.0000
C	1576.0000	1373.0000
D	988.0000	1160.0000
B D HD 797.1000 2 3
A D HD 1034.1500 2 3
A B	0.00000000      1.4142
A C	23.174166667    1.4142
A D	50.110333333    1.4142
B C	0.00000000      1.4142
B D	48.397250000    1.4142
B A	132.946611111   1.4142
C D	0.00000000      1.4142
C A	48.520833333    1.4142
C B	72.399555556    1.4142
D A	0.00000000      1.4142
D B	45.340055556    1.4142
D C	104.542694444   1.4142
